Source,Target,Path,Steps
solar radiation,utci - universal thermal climate index,solar radiation -> surface absorption -> air temperature -> utci - universal thermal climate index,3
spatial accessibility (straightness),housing affordability stress,spatial accessibility (straightness) -> property listing price -> price-to-income ratio (pir) -> housing affordability stress,3
spatial accessibility (straightness),housing affordability stress,spatial accessibility (straightness) -> property listing price -> ltv- loan to value ratio -> housing affordability stress,3
street width,pet - psychological equivalent temperature,street width -> canyon aspect ratio -> wind speed -> pet - psychological equivalent temperature,3
street width,tmrt - mean radiant temperature,street width -> canyon aspect ratio -> svf - skyview factor -> tmrt - mean radiant temperature,3
street width,utci - universal thermal climate index,street width -> canyon aspect ratio -> wind speed -> utci - universal thermal climate index,3
surface absorption,nature based solution,surface absorption -> air temperature -> utci - universal thermal climate index -> nature based solution,3
surface absorption,nature based solution,surface absorption -> air temperature -> pet - psychological equivalent temperature -> nature based solution,3
surface absorption,pet - psychological equivalent temperature,surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,3
surface absorption,utci - universal thermal climate index,surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,3
surface emissivity,infiltration rate,surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate,3
surface emissivity,nature based solution,surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature -> nature based solution,3
surface emissivity,nature based solution,surface emissivity -> air temperature -> utci - universal thermal climate index -> nature based solution,3
surface emissivity,nature based solution,surface emissivity -> air temperature -> pet - psychological equivalent temperature -> nature based solution,3
surface emissivity,pet - psychological equivalent temperature,surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature,3
surface emissivity,utci - universal thermal climate index,surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index,3
surface material,pet - psychological equivalent temperature,surface material -> surface emissivity -> lst - land surface temperature -> pet - psychological equivalent temperature,3
